"rxns","metabolite","n0","n5","c0","c5","log2FC_0","log2FC_5","label_flag"
"EX_HC01577[e]","gamma-glutamyl-beta-cyanoalanine",0,0,0,0,0,0,FALSE
"EX_HC01609[e]","uroporphyrinogen I",0,0,0,0,0,0,FALSE
"EX_HC01610[e]","coproporphyrinogen I",0,0,0,0,0,0,FALSE
"EX_HC01700[e]","gamma-glutamyl-3-aminopropiononitrile",0,0,0,0,0,0,FALSE
"EX_HC02160[e]","GM2",0,0,0,0,0,0,FALSE
"EX_HC02161[e]","GM1",0,0,0,0,0,0,FALSE
"EX_prpp[e]","PRPP",0,0,0,0,0,0,FALSE
"EX_udpg[e]","UDP-glucose",0,0,0,0,0,0,FALSE
"EX_prostgh2[e]","prostaglandin H2",0,0,0,0,0,0,FALSE
"EX_prostgi2[e]","prostaglandin I2",0,0,0,0,0,0,FALSE
"EX_cdp[e]","CDP",0,0,0,0,0,0,FALSE
"EX_dtdp[e]","dTDP",0,0,0,0,0,0,FALSE
"EX_HC00955[e]","L-3-cyanoalanine",0,0,0,0,0,0,FALSE
"EX_HC00004[e]","apoA1",0,0,0,0,0,0,FALSE
"EX_HC01939[e]","haptoglobin",0,0,0,0,0,0,FALSE
"EX_HC00822[e]","chitobiose",0,0,0,0,0,0,FALSE
"EX_C02528[e]","Chenodeoxycholate",0,0,0,0,0,0,FALSE
"EX_HC02192[e]","taurolithocholate",0,0,0,0,0,0,FALSE
"EX_HC02193[e]","glycolithocholate",0,0,0,0,0,0,FALSE
"EX_HC02195[e]","tauroursodeoxycholate",0,0,0,0,0,0,FALSE
"EX_HC02196[e]","glycoursodeoxycholate",0,0,0,0,0,0,FALSE
"EX_HC02220[e]","sulfochenodeoxycholate",0,0,0,0,0,0,FALSE
"EX_HC02191[e]","lithocholate",0,0,0,0,0,0,FALSE
"EX_HC02194[e]","ursodeoxycholate",0,0,0,0,0,0,FALSE
"EX_HC02198[e]","sulfotaurolithocholate",0,0,0,0,0,0,FALSE
