"rxns","metabolite","log2FC_muscle","log2FC_brain","label_flag"
"EX_2hatvlac[e]","2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone",0,0,FALSE
"EX_35dhpvs[e]","3'-alpha,5'beta-dihydroxy-pravastatin / 3'-alpha5'beta6'beta-trihydroxy pravastatin",0,0,FALSE
"EX_3hpvs[e]","3'-S-hydroxy-pravastatin",0,0,FALSE
"EX_3ispvs[e]","3-alpha-iso-pravastatin",0,0,FALSE
"EX_4hatvacid[e]","4-hydroxy-atorvastatin-acid / para-hydroxy-atorvastatin acid",0,0,FALSE
"EX_4hatvlac[e]","4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone",0,0,FALSE
"EX_6epvs[e]","6-epipravastatin",0,0,FALSE
"EX_acmp[e]","acetaminophen/paracetamol",0,0,FALSE
"EX_atvlac[e]","atorvastatin-lactone",0,0,FALSE
"EX_fvs[e]","fluvastatin",0,0,FALSE
"EX_ibup_R[e]","ibuprofen-R",0,0,FALSE
"EX_ptvst[e]","pitavastatin",0,0,FALSE
"EX_pvs[e]","pravastatin",0,0,FALSE
"EX_rsv[e]","rosuvastatin",0,0,FALSE
"EX_M02956[e]","TAG-chylomicron pool",0,0,FALSE
