,msp_0005,msp_0166,msp_0313,msp_0380,msp_0570,msp_0573,msp_0627,msp_0881,msp_0884,msp_1219,msp_1782,msp_1786,msp_1787,msp_1788,msp_1793,msp_1799
GutSample126,0.040516223,0.000503876,0,0.000129138,3.71E-05,2.28E-05,0,0.000102225,0,0,0,0,0,0,0,0
GutSample127,0.000850913,0.034357077,0.000364193,0.001330724,0,0.002382052,0,0,6.58E-05,0.000268607,0,0,0,0,0,0
GutSample128,0.007704612,0.02488196,2.30E-05,0.000106432,0,0.000110694,0,3.94E-05,0,3.45E-05,0,0,0,0,0,0
GutSample129,0.000645812,0.01212837,0.000662417,0.001024395,0,4.87E-05,0,3.21E-05,5.41E-05,0,0,0,0,0,0,0
GutSample130,0.001303656,0.021324881,7.41E-05,0.000642482,0,7.55E-05,0,0,0,0,0,0,0,0,0,0
GutSample131,0.04983785,0.01887563,0,0.000308177,1.26E-05,7.77E-05,0,0,3.06E-05,0,0,0,0,0,0,0
GutSample132,0.003960294,0.007967995,0.000679047,0.001006208,0.001165322,4.54E-05,0,2.17E-05,5.20E-05,0,0,0,0,0,0,1.12E-05
GutSample133,7.02E-05,0.00426925,4.03E-05,0.000142891,0,0,0,0,1.12E-05,2.09E-05,0,0,0,0,0,0
GutSample134,0.07072838,0,0,0.000314643,0,0.001861642,0,0,0,0,0,0,0,0,0,0
GutSample135,0.001171382,0.019780255,0.000112205,0.003995939,0.000468278,0.001375529,0,0.000100958,0.00016778,0.000123837,0,0,0,0,0,0
GutSample136,0.000253804,0.017535763,0.0001927,0.0013256,0.000132629,0.000151028,0,0.000541458,4.51E-05,0.000253017,0,0,0,0,0,0
GutSample137,0.001429011,0.003977484,0.000129551,0.000613924,4.47E-05,0.000800585,0,0.001303215,1.94E-05,0.000101569,0,0,0,0,0,0
GutSample138,0.003198873,0.002759773,0.034898528,0.022217305,0,0.004649778,0,0.000752036,2.19E-05,1.89E-05,0,0,0,0,0,0
GutSample139,0.000830596,0.007196618,0,0.000216791,9.32E-05,0.000102799,2.85E-05,0,0,0,0,0,0,0,0,0
GutSample140,0.001411022,0.024043481,0.000172401,0.001742869,0.001470595,0.008953261,0,9.89E-05,0.000175975,0,0,0,2.60E-05,0,0,0
GutSample141,0,0,0,0.000217782,0,0,0,3.09E-05,0,0,0,0,0,0,0,0
GutSample142,0.000405085,0.000614461,0,0.002678406,8.26E-05,0.00018634,0,0,4.29E-05,0,0,0,0,0,0,0
GutSample143,0.021684112,0.024043969,0.000704214,0.000481569,9.42E-06,0.00316846,0,0,0.000138136,2.22E-05,0,0,0,2.24E-05,0,0
GutSample144,0.384006178,0.049921746,0.003223107,0.000691991,0.000133822,0.013716127,0,0,0,0,0,0,0,0,0,0
GutSample145,0.000427996,0.008316128,7.72E-05,9.62E-05,0,0.001973168,0,3.13E-05,4.12E-05,2.74E-05,0,0,0,2.21E-05,0,0
GutSample146,0.000758536,0,0.000152798,0.003678313,4.16E-05,0.000377422,0,2.40E-05,0.00011733,0,0,0,0,0,0,0
