rxn,LB,UB
HMR_8458,-4.811140396002265,4.811140396002265
HMR_8459,-4.811140396002265,4.811140396002265
HMR_8460,-4.811140396002265,4.811140396002265
HMR_8462,-4.811140396002265,4.811140396002265
HMR_8463,-4.811140396002265,4.811140396002265
HMR_8464,-4.811140396002265,4.811140396002265
HMR_8465,-4.811140396002265,4.811140396002265
HMR_8466,-4.811140396002265,4.811140396002265
HMR_8467,-4.811140396002265,4.811140396002265
HMR_8468,-4.811140396002265,4.811140396002265
HMR_8469,-4.811140396002265,4.811140396002265
HMR_8470,-4.811140396002265,4.811140396002265
HMR_8471,-4.811140396002265,4.811140396002265
HMR_8472,-4.811140396002265,4.811140396002265
HMR_8473,0.0,1.3693991880793484
HMR_8474,0.0,4.684680315251535
HMR_8477,-2.2792670482522803,2.2792670482522803
HMR_8478,-2.2792670482522803,2.2792670482522803
HMR_8479,-2.2792670482522803,2.2792670482522803
HMR_8482,0.0,3.904370757518441
HMR_8483,0.0,2.6104873967098006
HMR_8485,0.0,3.6456381343433604
HMR_8486,-2.92643834068118,2.92643834068118
HMR_8487,0.0,3.9548208399702753
HMR_8488,0.0,2.8041243920060164
HMR_8489,0.0,2.8041243920060164
HMR_3802,-5.878697727924641,5.878697727924641
HMR_3804,-5.878697727924641,5.878697727924641
HMR_3811,0.0,6.983930641183017
HMR_3813,-4.834042043185623,4.834042043185623
HMR_3822,0.0,4.403881969899318
HMR_3827,-4.88382575435232,4.88382575435232
HMR_3829,-5.44491475913051,5.44491475913051
HMR_3831,0.0,5.037389779565044
HMR_3862,0.0,2.8617363130345126
HMR_3865,0.0,4.88382575435232
HMR_3870,0.0,3.8327713131527563
HMR_3873,0.0,7.004538312696533
HMR_8654,0.0,7.004538312696533
HMR_3890,0.0,5.109800216642456
HMR_3892,0.0,2.9485637081323333
HMR_9802,0.0,4.123072857876204
HMR_3899,-3.855062524939276,3.855062524939276
HMR_3903,0.0,0.19632625329748266
HMR_4109,-4.352176159399893,4.352176159399893
HMR_4114,0.0,2.8580607222881325
HMR_4115,0.0,2.8580607222881325
HMR_4118,0.0,3.8327713131527563
HMR_4172,0.0,2.8617363130345126
HMR_4196,0.0,1.7373993541426473
HMR_4197,0.0,3.6878833056227354
HMR_4287,0.0,5.220412796428399
HMR_4693,-4.679680968431426,4.679680968431426
HMR_6780,0.0,6.830910675666862
HMR_6969,-2.8865191070696716,2.8865191070696716
HMR_6970,-3.855062524939276,3.855062524939276
HMR_7641,0.0,2.6832101934830583
HMR_7642,-3.4439082790815454,3.4439082790815454
HMR_8628,0.0,2.8865191070696716
HMR_3806,-4.403881969899318,4.403881969899318
HMR_3807,-3.9967117275022406,3.9967117275022406
HMR_3809,-5.630926597778708,5.630926597778708
HMR_3816,0.0,6.49681348114945
HMR_3819,-4.403881969899318,4.403881969899318
HMR_3820,-4.403881969899318,4.403881969899318
HMR_3833,0.0,2.4039875390187713
HMR_3835,0.0,2.4039875390187713
HMR_3837,0.0,2.4039875390187713
HMR_3838,-4.118737649634081,4.118737649634081
HMR_3895,0.0,3.156978613822331
